"DateMutation","NatureMutation","ValeurFonciere","IDProprieteDuBien[FK]","IDSituationGeographique[FK]"
2020-02-03 00:00:00,"Vente",56000,1,1
2020-01-02 00:00:00,"Vente",165000,2,2
2020-01-08 00:00:00,"Vente",720000,3,3
2020-01-06 00:00:00,"Vente",429250,4,4
2020-01-07 00:00:00,"Vente",220900,5,5
2020-01-21 00:00:00,"Vente",42000,6,6
2020-01-07 00:00:00,"Vente",262000,7,7
2020-01-08 00:00:00,"Vente",190000,8,8
2020-01-16 00:00:00,"Vente",563130,9,9
2020-01-17 00:00:00,"Vente",535000,10,10
2020-01-16 00:00:00,"Vente",330000,11,11
2020-01-27 00:00:00,"Vente",110600,12,12
2020-01-30 00:00:00,"Vente",50000,13,13
2020-01-09 00:00:00,"Vente",212000,14,14
2020-01-15 00:00:00,"Vente",160000,15,15
2020-01-20 00:00:00,"Vente",561550,16,16
2020-01-28 00:00:00,"Vente",358000,17,17
2020-01-22 00:00:00,"Vente",220000,18,18
2020-01-27 00:00:00,"Vente",79300,19,19
2020-01-06 00:00:00,"Vente",285000,20,20
2020-01-27 00:00:00,"Vente",123100,21,21
2020-01-16 00:00:00,"Vente",107500,22,22
2020-01-30 00:00:00,"Vente",128810,23,23
2020-02-05 00:00:00,"Vente",31000,24,24
2020-01-21 00:00:00,"Vente",125000,25,25
2020-01-31 00:00:00,"Vente",285000,26,26
2020-02-03 00:00:00,"Vente",140500,27,27
2020-01-27 00:00:00,"Vente",101050,28,28
2020-01-31 00:00:00,"Vente",530000,29,29
2020-01-29 00:00:00,"Vente",486415,30,30
2020-01-28 00:00:00,"Vente",185000,31,31
2020-01-16 00:00:00,"Vente",131376,32,32
2020-01-23 00:00:00,"Vente",155000,33,33
2020-01-31 00:00:00,"Vente",150000,34,34
2020-02-03 00:00:00,"Vente",67000,35,35
2020-01-13 00:00:00,"Vente",114000,36,36
2020-02-07 00:00:00,"Vente",143850,37,37
2020-01-23 00:00:00,"Vente",237900,38,38
2020-01-24 00:00:00,"Vente",425000,39,39
2020-02-06 00:00:00,"Vente",220000,40,40
2020-02-07 00:00:00,"Vente",55000,41,41
2020-02-07 00:00:00,"Vente",164665,42,42
2020-02-10 00:00:00,"Vente",89000,43,43
2020-02-06 00:00:00,"Vente",475150,44,44
2020-02-12 00:00:00,"Vente",132500,45,45
2020-02-05 00:00:00,"Vente",68000,46,46
2020-01-30 00:00:00,"Vente",570840,47,47
2020-02-03 00:00:00,"Vente",135700,48,48
2020-02-05 00:00:00,"Vente",62500,49,49
2020-02-03 00:00:00,"Vente",332500,50,50
2020-02-07 00:00:00,"Vente",428000,51,51
2020-01-28 00:00:00,"Vente",210000,52,52
2020-02-12 00:00:00,"Vente",50000,53,53
2020-01-28 00:00:00,"Vente",592487,54,54
2020-02-10 00:00:00,"Vente",295000,55,55
2020-02-12 00:00:00,"Vente",133000,56,56
2020-01-29 00:00:00,"Vente",580450,57,57
2020-02-20 00:00:00,"Vente",105500,58,58
2020-02-04 00:00:00,"Vente",152900,59,59
2020-02-05 00:00:00,"Vente",352300,60,60
2020-02-17 00:00:00,"Vente",215000,61,61
2020-02-14 00:00:00,"Vente",128460,62,62
2020-02-14 00:00:00,"Vente",90500,63,63
2020-02-11 00:00:00,"Vente",305500,64,64
2020-02-18 00:00:00,"Vente",430000,65,65
2020-02-04 00:00:00,"Vente",152470,66,66
2020-02-13 00:00:00,"Vente",55000,67,67
2020-02-18 00:00:00,"Vente","465660,47",68,68
2020-02-12 00:00:00,"Vente",167550,69,69
2020-02-11 00:00:00,"Vente",212862,70,70
2020-02-19 00:00:00,"Vente",54000,71,71
2020-02-14 00:00:00,"Vente",390000,72,72
2020-02-24 00:00:00,"Vente",160000,73,73
2020-02-25 00:00:00,"Vente",156580,74,74
2020-02-18 00:00:00,"Vente",129258,75,75
2020-02-28 00:00:00,"Vente",210000,76,76
2020-02-17 00:00:00,"Vente",189350,77,77
2020-02-21 00:00:00,"Vente",310000,78,78
2020-02-25 00:00:00,"Vente",435000,79,79
2020-02-20 00:00:00,"Vente",505000,80,80
2020-02-25 00:00:00,"Vente",442100,81,81
2020-02-17 00:00:00,"Vente",506000,82,82
2020-02-12 00:00:00,"Vente",292000,83,83
2020-03-03 00:00:00,"Vente",200000,84,84
2020-02-27 00:00:00,"Vente",315800,85,85
2020-02-28 00:00:00,"Vente",167000,86,86
2020-02-25 00:00:00,"Vente",640000,87,87
2020-02-28 00:00:00,"Vente",74000,88,88
2020-03-04 00:00:00,"Vente",232550,89,89
2020-03-04 00:00:00,"Vente",90000,90,90
2020-03-09 00:00:00,"Vente",282000,91,91
2020-03-03 00:00:00,"Vente",152000,92,92
2020-03-17 00:00:00,"Vente",164000,93,93
2020-03-05 00:00:00,"Vente",389500,94,94
2020-03-11 00:00:00,"Vente",43000,95,95
2020-02-28 00:00:00,"Vente",139130,96,96
2020-03-11 00:00:00,"Vente",229100,97,97
2020-03-10 00:00:00,"Vente",222450,98,98
2020-03-16 00:00:00,"Vente",147500,99,99
2020-03-10 00:00:00,"Vente",440000,100,100
2020-03-02 00:00:00,"Vente",495000,101,101
2020-03-11 00:00:00,"Vente",510000,102,102
2020-03-27 00:00:00,"Vente",170000,103,103
2020-03-03 00:00:00,"Vente",251500,104,104
2020-03-19 00:00:00,"Vente",98000,105,105
2020-03-25 00:00:00,"Vente",132300,106,106
2020-03-10 00:00:00,"Vente",126000,107,107
2020-03-16 00:00:00,"Vente",131500,108,108
2020-03-12 00:00:00,"Vente",266960,109,109
2020-03-31 00:00:00,"Vente",114500,110,110
2020-03-11 00:00:00,"Vente",181970,111,111
2020-03-19 00:00:00,"Vente",70000,112,112
2020-04-01 00:00:00,"Vente",45000,113,113
2020-04-07 00:00:00,"Vente",375000,114,114
2020-03-18 00:00:00,"Vente",247000,115,115
2020-03-16 00:00:00,"Vente",16300,116,116
2020-03-16 00:00:00,"Vente",60000,117,117
2020-03-31 00:00:00,"Vente",164000,118,118
2020-03-17 00:00:00,"Vente",93585,119,119
2020-04-03 00:00:00,"Vente",210000,120,120
2020-03-14 00:00:00,"Vente",120000,121,121
2020-04-10 00:00:00,"Vente",50000,122,122
2020-04-03 00:00:00,"Vente",174850,123,123
2020-04-22 00:00:00,"Vente",223905,124,124
2020-04-15 00:00:00,"Vente",540000,125,125
2020-04-15 00:00:00,"Vente",230000,126,126
2020-04-08 00:00:00,"Vente",445000,127,127
2020-04-27 00:00:00,"Vente",44000,128,128
2020-04-09 00:00:00,"Vente",145900,129,129
2020-04-22 00:00:00,"Vente",57000,130,130
2020-04-21 00:00:00,"Vente",138000,131,131
2020-04-09 00:00:00,"Vente",190000,132,132
2020-03-16 00:00:00,"Vente",182000,133,133
2020-03-26 00:00:00,"Vente",271000,134,134
2020-04-28 00:00:00,"Vente",114400,135,135
2020-04-29 00:00:00,"Vente",98000,136,136
2020-04-17 00:00:00,"Vente",505000,137,137
2020-04-24 00:00:00,"Vente",289150,138,138
2020-04-29 00:00:00,"Vente",104000,139,139
2020-04-30 00:00:00,"Vente",245000,140,140
2020-05-06 00:00:00,"Vente",115000,141,141
2020-05-07 00:00:00,"Vente",483800,142,142
2020-05-07 00:00:00,"Vente",185000,143,143
2020-05-07 00:00:00,"Vente",188000,144,144
2020-05-13 00:00:00,"Vente",185000,145,145
2020-05-05 00:00:00,"Vente",162000,146,146
2020-04-17 00:00:00,"Vente",76000,147,147
2020-04-29 00:00:00,"Vente",367000,148,148
2020-05-19 00:00:00,"Vente",324050,149,149
2020-05-20 00:00:00,"Vente",170000,150,150
2020-05-15 00:00:00,"Vente",79370,151,151
2020-05-15 00:00:00,"Vente",69800,152,152
2020-05-18 00:00:00,"Vente",54120,153,153
2020-05-19 00:00:00,"Vente",116500,154,154
2020-05-12 00:00:00,"Vente",136000,155,155
2020-05-12 00:00:00,"Vente",234810,156,156
2020-05-15 00:00:00,"Vente",410000,157,157
2020-05-14 00:00:00,"Vente",205000,158,158
2020-05-06 00:00:00,"Vente",294000,159,159
2020-05-11 00:00:00,"Vente",620000,160,160
2020-05-12 00:00:00,"Vente",230000,161,161
2020-05-15 00:00:00,"Vente",469820,162,162
2020-05-29 00:00:00,"Vente",371550,163,163
2020-05-12 00:00:00,"Vente",315000,164,164
2020-05-20 00:00:00,"Vente",82500,165,165
2020-05-12 00:00:00,"Vente",439785,166,166
2020-05-18 00:00:00,"Vente",65000,167,167
2020-05-15 00:00:00,"Vente",469000,168,168
2020-05-18 00:00:00,"Vente",161000,169,169
2020-05-19 00:00:00,"Vente",513350,170,170
2020-06-02 00:00:00,"Vente",83000,171,171
2020-06-02 00:00:00,"Vente",471810,172,172
2020-06-11 00:00:00,"Vente",220470,173,173
2020-06-04 00:00:00,"Vente",243000,174,174
2020-06-04 00:00:00,"Vente",100000,175,175
2020-05-29 00:00:00,"Vente",193700,176,176
2020-06-04 00:00:00,"Vente",100000,177,177
2020-06-17 00:00:00,"Vente",595600,178,178
2020-06-26 00:00:00,"Vente",225000,179,179
2020-01-14 00:00:00,"Vente",106000,180,180
2020-01-10 00:00:00,"Vente",203400,181,181
2020-01-07 00:00:00,"Vente",212150,182,182
2020-01-03 00:00:00,"Vente",102000,183,183
2020-01-16 00:00:00,"Vente",150200,184,184
2020-01-13 00:00:00,"Vente",129400,185,185
2020-04-06 00:00:00,"Vente",130000,186,186
