"SurfaceCarrezLot1","SurfaceCarrezLot2","SurfaceCarrezLot3","SurfaceCarrezLot4","SurfaceCarrezLot5","NombreDeLot","SurfaceReelleBati","NombrePiecesPrincipale","SurfaceTerrain","TypeDeLocal","NatureCulture","NatureCultureSpeciale"
50.42,,,,,1,52,2,,"Appartement",,
48.22,,,,,2,48,3,,"Appartement",,
130.8,,,,,2,130,6,,"Appartement",,
109.22,,,,,1,109,5,,"Maison",,
108.65,,,,,2,91,4,,"Appartement",,
31.65,,,,,1,32,2,,"Appartement",,
52.58,,,,,1,52,2,,"Appartement",,
58.71,,,,,1,60,2,,"Appartement",,
93.23,,,,,3,96,4,,"Maison",,
117,,,,,1,117,5,,"Maison",,
35.6,,,,,1,36,2,,"Appartement",,
138.03,,,,,2,137,5,,"Appartement",,
42,,,,,1,43,2,,"Appartement",,
45.36,,,,,2,45,2,,"Appartement",,
82.6,,,,,2,84,4,,"Appartement",,
88.11,,,,,1,88,4,,"Appartement",,
164.87,,,,,1,143,6,,"Appartement",,
42.2,,,,,2,42,2,,"Appartement",,
68.11,,,,,1,65,3,,"Appartement",,
82.59,,,,,1,75,3,,"Appartement",,
30.23,,,,,1,30,1,,"Appartement",,
24.8,,,,,1,25,1,,"Appartement",,
52.6,,,,,1,52,2,,"Appartement",,
91.69,,,,,1,88,3,,"Appartement",,
45.54,,,,,1,45,1,,"Appartement",,
84.24,,,,,1,83,3,,"Appartement",,
68.23,,,,,1,68,3,,"Appartement",,
62.03,,,,,1,64,3,,"Appartement",,
112.93,,,,,1,109,4,,"Maison",,
131.91,,,,,1,133,4,,"Appartement",,
63.58,,,,,3,63,3,,"Appartement",,
35.86,,,,,1,50,3,,"Appartement",,
70.09,,,,,2,74,3,,"Appartement",,
200,,,,,1,121,4,,"Appartement",,
54.84,,,,,2,62,2,,"Appartement",,
72.75,,,,,2,73,4,,"Appartement",,
94.09,,,,,1,88,2,,"Maison",,
71.08,,,,,2,71,3,,"Appartement",,
97.03,,,,,1,101,4,,"Maison",,
44.48,,,,,1,45,2,,"Appartement",,
64.21,,,,,1,63,2,,"Appartement",,
70.1,,,,,2,68,3,,"Maison",,
76.7,,,,,1,90,4,,"Appartement",,
133.77,,,,,2,120,4,,"Appartement",,
107.61,,,,,1,106,5,,"Appartement",,
42.78,,,,,1,43,2,,"Appartement",,
124.55,,,,,1,120,5,,"Maison",,
68.11,,,,,1,67,2,,"Appartement",,
70.78,,,,,2,68,3,,"Appartement",,
112.3,,,,,1,112,5,,"Appartement",,
95.43,,,,,1,95,4,,"Maison",,
63.45,,,,,3,63,3,,"Appartement",,
77.3,,,,,2,75,4,,"Appartement",,
164.18,,,,,1,160,6,,"Maison",,
66.95,,,,,2,67,3,,"Appartement",,
30.62,,,,,2,31,1,,"Appartement",,
165.92,,,,,1,166,5,,"Appartement",,
51.99,,,,,2,56,2,,"Appartement",,
63.17,,,,,2,63,3,,"Appartement",,
84.97,,,,,2,88,3,,"Appartement",,
88.7,,,,,1,87,4,,"Appartement",,
50.64,,,,,1,51,2,,"Appartement",,
38,,,,,1,39,1,,"Appartement",,
70.53,,,,,3,71,3,,"Appartement",,
105.68,,,,,1,143,6,,"Maison",,
46.12,,,,,1,53,3,,"Appartement",,
37.63,,,,,2,39,2,,"Appartement",,
87.38,,,,,1,89,4,,"Appartement",,
50.33,,,,,2,50,2,,"Appartement",,
134.17,,,,,1,136,4,,"Appartement",,
47.65,,,,,3,62,3,,"Appartement",,
99.13,,,,,1,102,4,,"Maison",,
43.42,,,,,2,43,2,,"Appartement",,
83.6,,,,,1,83,4,,"Maison",,
54.65,,,,,1,55,2,,"Appartement",,
81.15,,,,,2,81,3,,"Appartement",,
53.43,,,,,1,56,3,,"Appartement",,
74.85,,,,,3,75,3,,"Appartement",,
90.33,,,,,1,90,4,,"Maison",,
99.39,,,,,1,86,4,,"Maison",,
123.16,,,,,1,118,5,,"Maison",,
110.13,,,,,1,110,5,,"Maison",,
71.43,,,,,1,70,3,,"Appartement",,
56.02,,,,,1,56,3,,"Appartement",,
85.12,,,,,2,85,4,,"Appartement",,
75,,,,,1,74,4,,"Appartement",,
135.68,,,,,3,133,4,,"Appartement",,
35.59,,,,,1,33,2,,"Appartement",,
62.38,,,,,1,63,3,,"Appartement",,
92.04,,,,,1,100,4,,"Appartement",,
46.05,,,,,1,46,2,,"Appartement",,
34.56,,,,,1,34,2,,"Appartement",,
43.23,,,,,1,43,2,,"Appartement",,
83.82,,,,,1,80,4,,"Maison",,
38.67,,,,,2,39,2,,"Appartement",,
88,,,,,1,92,3,,"Appartement",,
56.96,,,,,1,57,2,,"Appartement",,
55.4,,,,,1,55,3,,"Appartement",,
74.72,,,,,1,79,2,,"Appartement",,
295.21,,,,,1,190,6,,"Appartement",,
222.97,,,,,1,170,3,,"Maison",,
113.52,,,,,1,113,4,,"Appartement",,
127.2,,,,,2,127,4,,"Appartement",,
47.6,,,,,1,49,2,,"Appartement",,
65.29,,,,,1,74,3,,"Appartement",,
81.24,,,,,1,83,4,,"Appartement",,
42.89,,,,,2,32,2,,"Appartement",,
69.66,,,,,1,69,3,,"Appartement",,
69.65,,,,,2,69,3,,"Appartement",,
64.44,,,,,3,64,3,,"Appartement",,
88.83,,,,,1,88,4,,"Appartement",,
35.3,,,,,2,35,3,,"Appartement",,
45.5,,,,,3,40,2,,"Appartement",,
73.77,,,,,2,77,4,,"Maison",,
67.94,,,,,2,67,3,,"Appartement",,
22.2,,,,,1,30,1,,"Appartement",,
48.38,,,,,1,48,2,,"Appartement",,
56.65,,,,,1,56,2,,"Appartement",,
32.27,,,,,2,32,2,,"Appartement",,
61.54,,,,,1,68,4,,"Appartement",,
82.37,,,,,1,80,4,,"Maison",,
53.81,,,,,1,53,3,,"Appartement",,
71.8,,,,,1,71,3,,"Appartement",,
63.54,,,,,3,63,3,,"Appartement",,
101.52,,,,,1,102,6,,"Maison",,
51.7,,,,,2,42,2,,"Appartement",,
114.17,,,,,2,115,4,,"Appartement",,
21.48,,,,,1,21,2,,"Appartement",,
36.21,,,,,1,36,1,,"Appartement",,
44.24,,,,,2,48,2,,"Appartement",,
54.7,,,,,1,54,2,,"Appartement",,
51,,,,,1,54,2,,"Appartement",,
42.92,,,,,2,41,2,,"Appartement",,
68.08,,,,,2,67,3,,"Appartement",,
70.15,,,,,2,69,3,,"Appartement",,
57.23,,,,,1,56,2,,"Appartement",,
132.16,,,,,1,131,5,,"Appartement",,
58.62,,,,,1,63,2,,"Appartement",,
61.89,,,,,1,60,3,,"Appartement",,
92.45,,,,,1,105,3,,"Appartement",,
71.29,,,,,2,71,3,,"Appartement",,
138.05,,,,,1,101,5,,"Maison",,
45.12,,,,,2,30,1,,"Appartement",,
70.45,,,,,1,75,3,,"Appartement",,
78.54,,,,,1,77,4,,"Appartement",,
52.58,,,,,1,58,2,,"Appartement",,
30.98,,,,,2,22,2,,"Appartement",,
95.66,,,,,2,106,5,,"Appartement",,
87.23,,,,,1,87,4,,"Appartement",,
92.47,,,,,1,92,5,,"Appartement",,
89.2,,,,,2,89,5,,"Appartement",,
28.8,,,,,2,40,1,,"Appartement",,
46.68,,,,,1,46,2,,"Appartement",,
2.36,,,,,1,2,0,,"Appartement",,
68.92,,,,,1,68,3,,"Appartement",,
68.45,,,,,2,68,3,,"Appartement",,
102.52,,,,,1,103,4,,"Maison",,
59.67,,,,,2,59,2,,"Appartement",,
77.86,,,,,2,77,4,,"Appartement",,
