"Numvoie","B_T_Q","TypeDeVoie","Voie","CodePostal","Commune"
190,"A","RUE","CENTRALE",1370,"SAINT-ETIENNE-DU-BOIS"
347,,"RUE","DU CHATEAU",1170,"CHEVRY"
58,,"AV","DU MONT BLANC",1220,"DIVONNE-LES-BAINS"
140,,"RUE","DE L'ABBE JOLIVET",1630,"PERON"
39,,"RUE","BUFFON",1200,"VALSERHONE"
28,,"AV","JEAN FALCONNIER",1350,"CULOZ"
8,,"RUE","DE GENEVE",1630,"ST-GENIS-POUILLY"
2,,"RUE","DU RECULET",1630,"ST-GENIS-POUILLY"
1403,,"RUE","JEAN DE GINGINS",1220,"DIVONNE-LES-BAINS"
226,,"ALL","DES CAPUCINES",1630,"ST-GENIS-POUILLY"
276,,"RTE","DE POUGNY",1630,"PERON"
79,,"CRS","DE VERDUN",1100,"OYONNAX"
77,"B","RUE","DU COMMERCE",1130,"ST-GERMAIN-DE-JOUX"
240,,"RUE","DE PRE BAILLY",1170,"GEX"
3,,"RUE","TURENNE",1200,"VALSERHONE"
44,,"ALL","DU SQUARE DE LAUSANNE",1220,"DIVONNE-LES-BAINS"
59,,"RUE","ALEXANDRE BERARD",1500,"AMBERIEU-EN-BUGEY"
282,,"CHE","DES LONGES RAYES",1170,"CESSY"
54,,"GR","GRANDE RUE",1150,"SAULT-BRENAZ"
1,,"RUE","DE GEX",1210,"FERNEY-VOLTAIRE"
17,,"LOT","LES JARDINS DE CHEVRY",1170,"CHEVRY"
329,,"RUE","DES CARPIERES",1170,"SEGNY"
369,,"AV","CHARLES DE GAULLE",1150,"LAGNIEU"
154,,"RUE","SUR LA VIGNETTE",1130,"LE POIZAT-LALLEYRIAT"
6,,"RUE","DES USINIERS",1170,"GEX"
2,,"RUE","DU JURA",1630,"ST-GENIS-POUILLY"
54,,"RUE","MARCEL DEMIA",1500,"AMBERIEU-EN-BUGEY"
269,,"CHE","DE CHARIGNIN",1300,"BELLEY"
322,,"RUE","DE BRETIGNY",1210,"ORNEX"
132,,"ALL","DES HETRES",1630,"ST-GENIS-POUILLY"
80,,"RUE","DE MEYRIN",1210,"FERNEY-VOLTAIRE"
4,,"RUE","DE LA MAIRIE",1350,"CULOZ"
79,,"GR","GRANDE RUE DE BULLIEZ",1150,"LAGNIEU"
8,,"RUE","DE LA BIENNE",1590,"DORTAN"
29,,"RUE","REINE CLOTILDE",1500,"AMBERIEU-EN-BUGEY"
3,,"RUE","STE MARIE",1300,"BELLEY"
956,,"RTE","DE BOURG",1150,"LAGNIEU"
1,,"AV","DU BIJOU",1210,"FERNEY-VOLTAIRE"
58,,"CHE","DE LA PLANCHE BRULEE",1210,"FERNEY-VOLTAIRE"
211,,"RUE","CHANTEPIE",1280,"PREVESSIN-MOENS"
25,,"RUE","DE LA ROCHE SAMUEL",1110,"BRENOD"
25,,"RUE","DE LA COMMUNE 1871",1500,"AMBERIEU-EN-BUGEY"
6,,,"DE LA TOUR",1640,"SAINT-JEAN-LE-VIEUX"
91,,"CHE","DE LA PLANCHE BRULEE",1210,"FERNEY-VOLTAIRE"
3,,"RUE","DU DOCTEUR GREZEL",1130,"NANTUA"
28,,"RUE","DU DOC CHARCOT",1500,"SAINT-DENIS-EN-BUGEY"
312,,"RUE","DES TERRASSES",1710,"THOIRY"
10,,"RUE","AMPERE",1100,"OYONNAX"
1,,"RUE","GERARD DE NERVAL",1100,"BELLIGNAT"
10,,"RUE","DES HAUTAINS",1630,"ST-GENIS-POUILLY"
102,,"MAIL","DU NEUTRINO",1280,"PREVESSIN-MOENS"
84,,"RUE","DE MEYRIN",1210,"FERNEY-VOLTAIRE"
115,,"RUE","MASONOD",1110,"PLATEAU D'HAUTEVILLE"
812,,"RUE","DES VERTES CAMPAGNES",1170,"GEX"
26,,"CHE","DE LA PLANCHE BRULEE",1210,"FERNEY-VOLTAIRE"
2,,"RUE","DE CHAMP FUSY",1630,"ST-GENIS-POUILLY"
53,,"ALL","DES PRUNUS",1630,"ST-GENIS-POUILLY"
541,,"RUE","DES MONTS JURA",1410,"LELEX"
386,,"CHE","DES SOUPIRS",1300,"BELLEY"
663,,"RTE","BLANCHE",1170,"SEGNY"
377,,"RUE","DES ABATTOIRS",1170,"GEX"
60,,"ALL","DES FRERES CAUDRON",1500,"AMBERIEU-EN-BUGEY"
86,,"RUE","DE LA REPUBLIQUE",1200,"VALSERHONE"
148,,"IMP","DU SAUGY",1210,"ORNEX"
77,"J","LOT","CLOS CHAMP VRILLARD",1170,"CESSY"
27,,"RLE","DE L EGLISE",1170,"GEX"
5,,"PL","DE L EGLISE",1150,"LAGNIEU"
94,,"ALL","SIMON VAN DER MEER",1280,"PREVESSIN-MOENS"
242,,"RUE","DE PRE BAILLY",1170,"GEX"
8,,"RTE","DE DIVONNE",1170,"VESANCY"
24,,"RUE","LAMARTINE",1200,"VALSERHONE"
88,,"RUE","DU PETIT CHAMP",1710,"THOIRY"
27,,"RUE","DES VERGERS",1710,"THOIRY"
250,,"RUE","DES FRENES",1580,"IZERNORE"
13,,"RUE","JEAN MONNET",1500,"AMBERIEU-EN-BUGEY"
2,,"RUE","DE LA BATISSE",1500,"AMBERIEU-EN-BUGEY"
33,,"RUE","DE GENEVE",1630,"ST-GENIS-POUILLY"
30,,"RUE","DE VERSOIX",1210,"FERNEY-VOLTAIRE"
322,,"RUE","DE BRETIGNY",1210,"ORNEX"
923,,"RTE","DE MURY",1170,"ECHENEVEX"
77,,"RUE","LA PIECE",1170,"CHEVRY"
103,,"MAIL","DU NEUTRINO",1280,"PREVESSIN-MOENS"
33,,"MAIL","DU NEUTRINO",1280,"PREVESSIN-MOENS"
75,,"RUE","DES VERGERS",1710,"THOIRY"
27,,"RTE","DE CESSY",1210,"VERSONNEX"
60,,"RUE","DE SAVOIE",1200,"VALSERHONE"
90,,"RUE","DE LAUSANNE",1220,"DIVONNE-LES-BAINS"
72,,"RUE","DE LA REPUBLIQUE",1500,"AMBERIEU-EN-BUGEY"
198,,"RTE","DE VOUVRAY",1200,"VALSERHONE"
198,,"RTE","DE VOUVRAY",1200,"VALSERHONE"
786,,"AV","DES VOIRONS",1220,"DIVONNE-LES-BAINS"
256,,"AV","DE BELLE FERME",1170,"GEX"
1143,,"RUE","CLAIRES FONTAINES",1150,"SAINT-VULBAS"
40,,"RUE","VICTOR HUGO",1210,"FERNEY-VOLTAIRE"
150,,"RUE","DE LA REPUBLIQUE",1300,"BELLEY"
14,,"RUE","CASTELLION",1100,"OYONNAX"
38,,"AV","DE VESSY",1210,"FERNEY-VOLTAIRE"
256,,"AV","DE BELLE FERME",1170,"GEX"
36,,"RUE","DES APOTRES",1500,"AMBERIEU-EN-BUGEY"
91,,,"GRAND' RUE",1550,"COLLONGES"
88,,"RUE","DE LA PIERRE",1170,"ECHENEVEX"
223,,"RUE","DES PRALETS",1210,"ORNEX"
232,,"RUE","DE LA ROCHETTE",1260,"CHAMPAGNE-EN-VALROMEY"
3,"A","RUE","GEORGES CHARPAK",1630,"ST-GENIS-POUILLY"
9,,"RUE","DE LA FLAUDIERE",1640,"JUJURIEUX"
392,,"RTE","DE VOUVRAY",1200,"VALSERHONE"
5186,,,"MATAFELON",1580,"MATAFELON-GRANGES"
8,,"RUE","GEORGES MARIN",1200,"VALSERHONE"
6066,,"RUE","DES BATTOIRS",1710,"THOIRY"
1,,"ESPA","CHARLES DE GAULLE",1100,"OYONNAX"
54,,"RUE","ANTOINE JACQUET",1200,"VALSERHONE"
5208,,,"LE BULOZ",1260,"HAUT-VALROMEY"
7,,"RUE","DU DOCTEUR GREZEL",1130,"NANTUA"
247,,"CHE","DE PRE DE PLANCHE",1280,"PREVESSIN-MOENS"
120,"B","CHE","DU MARTINET",1170,"CESSY"
12,,"RUE","DU MURET",1100,"OYONNAX"
47,,"RUE","DU CHANE",1100,"ARBENT"
1,,"RUE","JOLIOT CURIE",1200,"VALSERHONE"
15,,"CHE","DU LAVOIR",1150,"SAINT-VULBAS"
68,,"RUE","DES USINIERS",1170,"GEX"
5001,,"ALL","HONORE DE BALZAC",1300,"BELLEY"
9,,"RUE","DES FRERES SERPOLLET",1350,"CULOZ"
231,,"RUE","DE LA RABOUDIERE",1360,"LOYETTES"
80,,"RUE","DE MEYRIN",1210,"FERNEY-VOLTAIRE"
20,,,"HAMEAU DES CHENES",1710,"THOIRY"
47,,"CHE","DES ECOLIERS",1220,"DIVONNE-LES-BAINS"
48,,"RUE","DE GENEVE",1210,"FERNEY-VOLTAIRE"
40,,"IMP","DES PISTES",1410,"LELEX"
4,,"IMP","DU PEGAN",1210,"FERNEY-VOLTAIRE"
4,,"PL","DE L HOTEL DE VILLE",1640,"JUJURIEUX"
76,,"RUE","COLONEL XAVIER RENDU",1200,"VALSERHONE"
18,,"AV","FRANCIS BLANCHARD",1170,"GEX"
711,,"RUE","DES MORAINES",1170,"CHEVRY"
120,"B","CHE","DU MARTINET",1170,"CESSY"
35,,"RUE","BUFFON",1200,"VALSERHONE"
20,,"RUE","PARMENTIER",1200,"VALSERHONE"
461,,"RUE","JEAN-JACQUES ROUSSEAU",1630,"ST-GENIS-POUILLY"
114,,"RUE","DU CONTE DES PERMISSIONS",1220,"DIVONNE-LES-BAINS"
38,"B","RUE","JOSEPH MARION",1200,"VALSERHONE"
242,,"RUE","DES VERTES CAMPAGNES",1170,"GEX"
44,,"RUE","PASTEUR",1150,"LAGNIEU"
34,,"RUE","DES ECOLES",1630,"ST-GENIS-POUILLY"
183,,"RUE","DU VIEUX BOURG",1170,"SEGNY"
54,"B","RUE","ARISTIDE BRIAND",1500,"AMBERIEU-EN-BUGEY"
99,,"RUE","DE L AMITIE",1300,"BELLEY"
16,,"RUE","DES HAUTAINS",1630,"ST-GENIS-POUILLY"
5245,,,"LES MARS",1410,"MIJOUX"
17,,"AV","DES ALPES",1210,"FERNEY-VOLTAIRE"
35,,"RUE","DES PRELES",1630,"SERGY"
78,,"AV","DU GEN SARRAIL",1500,"AMBERIEU-EN-BUGEY"
22,,"RUE","DE L AVENIR",1200,"VALSERHONE"
7,,"RUE","TURENNE",1200,"VALSERHONE"
86,,"RUE","GUSTAVE EIFFEL",1100,"BELLIGNAT"
16,,"AV","DU JURA",1210,"FERNEY-VOLTAIRE"
6,,"RUE","GEORGES MARIN",1200,"VALSERHONE"
346,,"RUE","DE PRE BAILLY",1170,"GEX"
195,,"IMP","DU SAUGY",1210,"ORNEX"
6066,,"RUE","DES BATTOIRS",1710,"THOIRY"
348,,"RUE","DE PRE BAILLY",1170,"GEX"
72,,"CHE","DES COLLINES",1630,"SERGY"
86,,"RUE","DE MEYRIN",1210,"FERNEY-VOLTAIRE"
181,,"RUE","PARC JEAN MONNET",1630,"ST-GENIS-POUILLY"
28,,"CHE","DU PEUDEX",1220,"DIVONNE-LES-BAINS"
62,,"CHE","DU PONT DE GREMAZ",1710,"THOIRY"
1,,"ALL","ALBERT CAMUS",1200,"VALSERHONE"
10,,"RUE","DES HAUTAINS",1630,"ST-GENIS-POUILLY"
13,,"PL","DES FOURS",1300,"BELLEY"
4,,"CHE","DU MARAIS",1280,"PREVESSIN-MOENS"
67,,"RTE","DE GENEVE",1170,"CESSY"
644,,"RUE","D ARBERE",1220,"DIVONNE-LES-BAINS"
67,,"RTE","DE CHAVORNOD",1300,"BELLEY"
96,,"RUE","DU JURA",1220,"DIVONNE-LES-BAINS"
282,,"CHE","DES LONGES RAYES",1170,"CESSY"
152,,"GR","GRANDE RUE",1220,"DIVONNE-LES-BAINS"
170,,"RUE","DES TERREAUX",1170,"GEX"
399,,"RUE","DU COTEILLON",1150,"LAGNIEU"
780,,"RUE","DE LA REPUBLIQUE",1550,"FARGES"
53,,"ALL","DES PRUNUS",1630,"ST-GENIS-POUILLY"
71,,"CHE","DE LA PRALAY",1170,"CROZET"
46,,"AV","DES NATIONS",1330,"VILLARS-LES-DOMBES"
13,,"RUE","DE LAYE",1800,"MEXIMIEUX"
151,,"RTE","DE BELLEVILLE",1090,"MONTCEAUX"
9,,"RUE","NEUVE",1120,"MONTLUEL"
