ProprieteDuBien[PK],SurfaceCarrezLot1,SurfaceCarrezLot2,SurfaceCarrezLot3,SurfaceCarrezLot4,SurfaceCarrezLot5,NombreDeLot,SurfaceReelleBati,NombrePiecesPrincipale,SurfaceTerrain,TypeDeLocal,NatureCulture,NatureCultureSpeciale,IDSituationGeographiqueFK
0,50.42,,,,,1,52,2,,Appartement,,,1
1,48.22,,,,,2,48,3,,Appartement,,,2
2,130.8,,,,,2,130,6,,Appartement,,,3
3,109.22,,,,,1,109,5,,Maison,,,4
4,108.65,,,,,2,91,4,,Appartement,,,5
5,31.65,,,,,1,32,2,,Appartement,,,6
6,52.58,,,,,1,52,2,,Appartement,,,7
7,58.71,,,,,1,60,2,,Appartement,,,8
8,93.23,,,,,3,96,4,,Maison,,,9
9,117,,,,,1,117,5,,Maison,,,10
10,35.6,,,,,1,36,2,,Appartement,,,11
11,138.03,,,,,2,137,5,,Appartement,,,12
12,42,,,,,1,43,2,,Appartement,,,13
13,45.36,,,,,2,45,2,,Appartement,,,14
14,82.6,,,,,2,84,4,,Appartement,,,15
15,88.11,,,,,1,88,4,,Appartement,,,16
16,164.87,,,,,1,143,6,,Appartement,,,17
17,42.2,,,,,2,42,2,,Appartement,,,18
18,68.11,,,,,1,65,3,,Appartement,,,19
19,82.59,,,,,1,75,3,,Appartement,,,20
20,30.23,,,,,1,30,1,,Appartement,,,21
21,24.8,,,,,1,25,1,,Appartement,,,22
22,52.6,,,,,1,52,2,,Appartement,,,23
23,91.69,,,,,1,88,3,,Appartement,,,24
24,45.54,,,,,1,45,1,,Appartement,,,25
25,84.24,,,,,1,83,3,,Appartement,,,26
26,68.23,,,,,1,68,3,,Appartement,,,27
27,62.03,,,,,1,64,3,,Appartement,,,28
28,112.93,,,,,1,109,4,,Maison,,,29
29,131.91,,,,,1,133,4,,Appartement,,,30
30,63.58,,,,,3,63,3,,Appartement,,,31
31,35.86,,,,,1,50,3,,Appartement,,,32
32,70.09,,,,,2,74,3,,Appartement,,,33
33,200,,,,,1,121,4,,Appartement,,,34
34,54.84,,,,,2,62,2,,Appartement,,,35
35,72.75,,,,,2,73,4,,Appartement,,,36
36,94.09,,,,,1,88,2,,Maison,,,37
37,71.08,,,,,2,71,3,,Appartement,,,38
38,97.03,,,,,1,101,4,,Maison,,,39
39,44.48,,,,,1,45,2,,Appartement,,,40
40,64.21,,,,,1,63,2,,Appartement,,,41
41,70.1,,,,,2,68,3,,Maison,,,42
42,76.7,,,,,1,90,4,,Appartement,,,43
43,133.77,,,,,2,120,4,,Appartement,,,44
44,107.61,,,,,1,106,5,,Appartement,,,45
45,42.78,,,,,1,43,2,,Appartement,,,46
46,124.55,,,,,1,120,5,,Maison,,,47
47,68.11,,,,,1,67,2,,Appartement,,,48
48,70.78,,,,,2,68,3,,Appartement,,,49
49,112.3,,,,,1,112,5,,Appartement,,,50
50,95.43,,,,,1,95,4,,Maison,,,51
51,63.45,,,,,3,63,3,,Appartement,,,52
52,77.3,,,,,2,75,4,,Appartement,,,53
53,164.18,,,,,1,160,6,,Maison,,,54
54,66.95,,,,,2,67,3,,Appartement,,,55
55,30.62,,,,,2,31,1,,Appartement,,,56
56,165.92,,,,,1,166,5,,Appartement,,,57
57,51.99,,,,,2,56,2,,Appartement,,,58
58,63.17,,,,,2,63,3,,Appartement,,,59
59,84.97,,,,,2,88,3,,Appartement,,,60
60,88.7,,,,,1,87,4,,Appartement,,,61
61,50.64,,,,,1,51,2,,Appartement,,,62
62,38,,,,,1,39,1,,Appartement,,,63
63,70.53,,,,,3,71,3,,Appartement,,,64
64,105.68,,,,,1,143,6,,Maison,,,65
65,46.12,,,,,1,53,3,,Appartement,,,66
66,37.63,,,,,2,39,2,,Appartement,,,67
67,87.38,,,,,1,89,4,,Appartement,,,68
68,50.33,,,,,2,50,2,,Appartement,,,69
69,134.17,,,,,1,136,4,,Appartement,,,70
70,47.65,,,,,3,62,3,,Appartement,,,71
71,99.13,,,,,1,102,4,,Maison,,,72
72,43.42,,,,,2,43,2,,Appartement,,,73
73,83.6,,,,,1,83,4,,Maison,,,74
74,54.65,,,,,1,55,2,,Appartement,,,75
75,81.15,,,,,2,81,3,,Appartement,,,76
76,53.43,,,,,1,56,3,,Appartement,,,77
77,74.85,,,,,3,75,3,,Appartement,,,78
78,90.33,,,,,1,90,4,,Maison,,,79
79,99.39,,,,,1,86,4,,Maison,,,80
80,123.16,,,,,1,118,5,,Maison,,,81
81,110.13,,,,,1,110,5,,Maison,,,82
82,71.43,,,,,1,70,3,,Appartement,,,83
83,56.02,,,,,1,56,3,,Appartement,,,84
84,85.12,,,,,2,85,4,,Appartement,,,85
85,75,,,,,1,74,4,,Appartement,,,86
86,135.68,,,,,3,133,4,,Appartement,,,87
87,35.59,,,,,1,33,2,,Appartement,,,88
88,62.38,,,,,1,63,3,,Appartement,,,89
89,92.04,,,,,1,100,4,,Appartement,,,90
90,46.05,,,,,1,46,2,,Appartement,,,91
91,34.56,,,,,1,34,2,,Appartement,,,92
92,43.23,,,,,1,43,2,,Appartement,,,93
93,83.82,,,,,1,80,4,,Maison,,,94
94,38.67,,,,,2,39,2,,Appartement,,,95
95,88,,,,,1,92,3,,Appartement,,,96
96,56.96,,,,,1,57,2,,Appartement,,,97
97,55.4,,,,,1,55,3,,Appartement,,,98
98,74.72,,,,,1,79,2,,Appartement,,,99
99,295.21,,,,,1,190,6,,Appartement,,,100
100,222.97,,,,,1,170,3,,Maison,,,101
101,113.52,,,,,1,113,4,,Appartement,,,102
102,127.2,,,,,2,127,4,,Appartement,,,103
103,47.6,,,,,1,49,2,,Appartement,,,104
104,65.29,,,,,1,74,3,,Appartement,,,105
105,81.24,,,,,1,83,4,,Appartement,,,106
106,42.89,,,,,2,32,2,,Appartement,,,107
107,69.66,,,,,1,69,3,,Appartement,,,108
108,69.65,,,,,2,69,3,,Appartement,,,109
109,64.44,,,,,3,64,3,,Appartement,,,110
110,88.83,,,,,1,88,4,,Appartement,,,111
111,35.3,,,,,2,35,3,,Appartement,,,112
112,45.5,,,,,3,40,2,,Appartement,,,113
113,73.77,,,,,2,77,4,,Maison,,,114
114,67.94,,,,,2,67,3,,Appartement,,,115
115,22.2,,,,,1,30,1,,Appartement,,,116
116,48.38,,,,,1,48,2,,Appartement,,,117
117,56.65,,,,,1,56,2,,Appartement,,,118
118,32.27,,,,,2,32,2,,Appartement,,,119
119,61.54,,,,,1,68,4,,Appartement,,,120
120,82.37,,,,,1,80,4,,Maison,,,121
121,53.81,,,,,1,53,3,,Appartement,,,122
122,71.8,,,,,1,71,3,,Appartement,,,123
123,63.54,,,,,3,63,3,,Appartement,,,124
124,101.52,,,,,1,102,6,,Maison,,,125
125,51.7,,,,,2,42,2,,Appartement,,,126
126,114.17,,,,,2,115,4,,Appartement,,,127
127,21.48,,,,,1,21,2,,Appartement,,,128
128,36.21,,,,,1,36,1,,Appartement,,,129
129,44.24,,,,,2,48,2,,Appartement,,,130
130,54.7,,,,,1,54,2,,Appartement,,,131
131,51,,,,,1,54,2,,Appartement,,,132
132,42.92,,,,,2,41,2,,Appartement,,,133
133,68.08,,,,,2,67,3,,Appartement,,,134
134,70.15,,,,,2,69,3,,Appartement,,,135
135,57.23,,,,,1,56,2,,Appartement,,,136
136,132.16,,,,,1,131,5,,Appartement,,,137
137,58.62,,,,,1,63,2,,Appartement,,,138
138,61.89,,,,,1,60,3,,Appartement,,,139
139,92.45,,,,,1,105,3,,Appartement,,,140
140,71.29,,,,,2,71,3,,Appartement,,,141
141,138.05,,,,,1,101,5,,Maison,,,142
142,45.12,,,,,2,30,1,,Appartement,,,143
143,70.45,,,,,1,75,3,,Appartement,,,144
144,78.54,,,,,1,77,4,,Appartement,,,145
145,52.58,,,,,1,58,2,,Appartement,,,146
146,30.98,,,,,2,22,2,,Appartement,,,147
147,95.66,,,,,2,106,5,,Appartement,,,148
148,87.23,,,,,1,87,4,,Appartement,,,149
149,92.47,,,,,1,92,5,,Appartement,,,150
150,89.2,,,,,2,89,5,,Appartement,,,151
151,28.8,,,,,2,40,1,,Appartement,,,152
152,46.68,,,,,1,46,2,,Appartement,,,153
153,2.36,,,,,1,2,0,,Appartement,,,154
154,68.92,,,,,1,68,3,,Appartement,,,155
155,68.45,,,,,2,68,3,,Appartement,,,156
156,102.52,,,,,1,103,4,,Maison,,,157
157,59.67,,,,,2,59,2,,Appartement,,,158
158,77.86,,,,,2,77,4,,Appartement,,,159
159,105.12,,,,,3,106,4,,Maison,,,160
160,63.27,,,,,3,63,3,,Appartement,,,161
161,133.24,,,,,1,133,4,,Appartement,,,162
162,67.33,,,,,1,63,3,,Appartement,,,163
163,68.69,,,,,2,65,3,,Appartement,,,164
164,58.3,,,,,1,59,2,,Appartement,,,165
165,111.06,,,,,1,112,5,,Appartement,,,166
166,117.63,,,,,1,117,5,,Appartement,,,167
167,85.12,,,,,1,82,4,,Appartement,,,168
168,42.01,,,,,1,42,2,,Appartement,,,169
169,96.46,,,,,1,96,5,,Maison,,,170
170,57.5,,,,,3,58,3,,Appartement,,,171
171,90.4,,,,,2,90,4,,Appartement,,,172
172,42.59,,,,,2,42,2,,Appartement,,,173
173,50.11,,,,,1,35,1,,Appartement,,,174
174,32.6,,,,,1,33,2,,Appartement,,,175
175,103.62,,,,,1,88,4,,Maison,,,176
176,135.89,,,,,1,60,2,,Appartement,,,177
177,166.98,,,,,1,166,5,,Appartement,,,178
178,58.13,,,,,1,65,2,,Appartement,,,179
179,38.67,,,,,1,39,2,,Appartement,,,180
180,120.5,,,,,1,110,5,,Maison,,,181
181,86.8,,,,,1,90,3,,Appartement,,,182
182,41.82,,,,,1,47,1,,Appartement,,,183
183,56.63,,,,,1,56,2,,Appartement,,,184
184,79.06,,,,,1,77,3,,Appartement,,,185
185,65.82,,,,,1,65,3,,Appartement,,,186
186,38.43,,,,,1,44,3,,Appartement,,,187
187,85.95,,,,,1,85,4,,Appartement,,,188
188,48.42,,,,,1,48,2,,Appartement,,,189
189,80.87,,,,,1,82,4,,Maison,,,190
190,165.11,,,,,4,156,6,,Appartement,,,191
191,71.5,,,,,1,72,4,,Appartement,,,192
192,82.54,,,,,1,82,3,,Appartement,,,193
193,39.97,,,,,3,41,2,,Appartement,,,194
194,146.68,,,,,1,158,4,,Appartement,,,195
195,31.6,,,,,1,40,2,,Appartement,,,196
196,92,,,,,1,80,4,213,Maison,S,,197
197,73.5,,,,,1,65,3,,Appartement,,,198
198,23.82,,,,,2,30,1,,Appartement,,,199
199,37.3,,,,,1,40,2,,Appartement,,,200
200,49.1,,,,,1,53,2,,Appartement,,,201
201,30.94,,,,,1,31,1,,Appartement,,,202
202,65.66,,,,,1,67,3,,Maison,,,203
203,27.19,,,,,1,27,1,,Appartement,,,204
204,46.92,,,,,1,53,2,,Appartement,,,205
205,78.3,,,,,1,82,4,,Maison,,,206
206,88.5,,,,,1,90,5,,Appartement,,,207
207,24.05,,,,,1,27,1,,Appartement,,,208
208,92.54,,,,,1,92,4,,Maison,,,209
209,60.05,,,,,1,62,3,,Appartement,,,210
210,89,,,,,1,90,5,,Appartement,,,211
