"IDCommune","CodePostal","Commune"
0,1090,"MONTCEAUX"
1,1100,"OYONNAX"
2,1100,"BELLIGNAT"
3,1100,"ARBENT"
4,1110,"BRENOD"
5,1110,"PLATEAU D'HAUTEVILLE"
6,1120,"MONTLUEL"
7,1120,"DAGNEUX"
8,1130,"ST-GERMAIN-DE-JOUX"
9,1130,"LE POIZAT-LALLEYRIAT"
10,1130,"NANTUA"
11,1150,"SAULT-BRENAZ"
12,1150,"LAGNIEU"
13,1150,"SAINT-VULBAS"
14,1170,"CHEVRY"
15,1170,"GEX"
16,1170,"CESSY"
17,1170,"SEGNY"
18,1170,"VESANCY"
19,1170,"ECHENEVEX"
20,1170,"CROZET"
21,1200,"VALSERHONE"
22,1210,"FERNEY-VOLTAIRE"
23,1210,"ORNEX"
24,1210,"VERSONNEX"
25,1220,"DIVONNE-LES-BAINS"
26,1260,"CHAMPAGNE-EN-VALROMEY"
27,1260,"HAUT-VALROMEY"
28,1280,"PREVESSIN-MOENS"
29,1300,"BELLEY"
30,1330,"VILLARS-LES-DOMBES"
31,1350,"CULOZ"
32,1360,"LOYETTES"
33,1370,"SAINT-ETIENNE-DU-BOIS"
34,1390,"MIONNAY"
35,1410,"LELEX"
36,1410,"MIJOUX"
37,1480,"JASSANS-RIOTTIER"
38,1480,"BEAUREGARD"
39,1500,"AMBERIEU-EN-BUGEY"
40,1500,"SAINT-DENIS-EN-BUGEY"
41,1550,"COLLONGES"
42,1550,"FARGES"
43,1580,"IZERNORE"
44,1580,"MATAFELON-GRANGES"
45,1590,"DORTAN"
46,1630,"PERON"
47,1630,"ST-GENIS-POUILLY"
48,1630,"SERGY"
49,1640,"SAINT-JEAN-LE-VIEUX"
50,1640,"JUJURIEUX"
51,1710,"THOIRY"
52,1800,"MEXIMIEUX"
53,1800,"VILLIEU-LOYES-MOLLON"
54,2000,"LAON"
55,2000,"URCEL"
56,2100,"SAINT QUENTIN"
57,2130,"FERE EN TARDENOIS"
58,2200,"SOISSONS"
59,2200,"COURMELLES"
60,2200,"BELLEU"
61,2290,"VIC SUR AISNE"
62,2300,"CHAUNY"
63,2370,"VAILLY-SUR-AISNE"
64,2400,"CHATEAU THIERRY"
65,2410,"SAINT GOBAIN"
66,2600,"VILLERS-COTTERETS"
67,2600,"LARGNY SUR AUTOMNE"
68,2600,"COEUVRES ET VALSERY"
69,2670,"FOLEMBRAY"
70,2700,"TERGNIER"
71,2800,"LA FERE"
72,2880,"NANTEUIL LA FOSSE"
73,3000,"MOULINS"
74,3200,"VICHY"
75,3300,"CUSSET"
76,3400,"YZEURE"
77,4000,"DIGNE-LES-BAINS"
78,4100,"MANOSQUE"
79,4120,"CASTELLANE"
80,4120,"DEMANDOLX"
81,4130,"VOLX"
82,4140,"MONTCLAR"
83,4140,"SEYNE"
84,4140,"SELONNET"
85,4160,"CHATEAU-ARNOUX-SAINT-AUBAN"
86,4160,"L ESCALE"
87,4180,"VILLENEUVE"
88,4200,"SISTERON"
89,4200,"PEIPIN"
90,4200,"NOYERS-SUR-JABRON"
91,4210,"VALENSOLE"
92,4220,"SAINTE-TULLE"
93,4230,"SAINT-ETIENNE-LES-ORGUES"
94,4260,"ALLOS"
95,4290,"VOLONNE"
96,4300,"FORCALQUIER"
97,4300,"PIERRERUE"
98,4330,"BARREME"
99,4340,"LE LAUZET UBAYE"
100,4400,"ENCHASTRAYES"
101,4400,"FAUCON-DE-BARCELONNETTE"
102,4400,"BARCELONNETTE"
103,4400,"UVERNET-FOURS"
104,4500,"RIEZ"
105,4500,"SAINTE CROIX DU VERDON"
106,4700,"ORAISON"
107,4800,"GREOUX-LES-BAINS"
108,4800,"SAINT-MARTIN-DE-BROMES"
109,4850,"JAUSIERS"
110,5000,"GAP"
111,5100,"BRIANCON"
112,5100,"NEVACHE"
113,5100,"MONTGENEVRE"
114,5120,"L'ARGENTIERE-LA-BESSEE"
115,5160,"SAVINES-LE-LAC"
116,5170,"ORCIERES"
117,5200,"EMBRUN"
118,5200,"SAINT-SAUVEUR"
119,5200,"LES ORRES"
120,5200,"PUY-SANIERES"
121,5220,"LE MONETIER-LES-BAINS"
122,5230,"MONTGARDIN"
123,5230,"CHORGES"
124,5230,"LA BATIE NEUVE"
125,5240,"LA SALLE"
126,5250,"LE DEVOLUY"
127,5260,"SAINT-MICHEL-DE-CHAILLOL"
128,5260,"ANCELLE"
129,5290,"PUY SAINT VINCENT"
130,5300,"LARAGNE-MONTEGLIN"
131,5330,"SAINT-CHAFFREY"
132,5340,"VALLOUISE-PELVOUX"
133,5400,"VEYNES"
134,5460,"ABRIES-RISTOLAS"
135,5500,"SAINT-BONNET-EN-CHAMPSAUR"
136,5500,"LAYE"
137,5560,"VARS"
138,5600,"RISOUL"
139,5600,"GUILLESTRE"
140,5700,"SERRES"
141,5800,"LA CHAPELLE-EN-VALGAUDEMAR"
142,6000,"NICE"
143,6100,"NICE"
144,6110,"LE CANNET"
145,6130,"GRASSE"
146,6140,"VENCE"
147,6150,"CANNES"
148,6160,"ANTIBES"
149,6190,"ROQUEBRUNE CAP MARTIN"
150,6200,"NICE"
151,6210,"MANDELIEU-LA-NAPOULE"
152,6220,"VALLAURIS"
153,6230,"VILLEFRANCHE-SUR-MER"
154,6230,"SAINT-JEAN-CAP-FERRAT"
155,6240,"BEAUSOLEIL"
156,6250,"MOUGINS"
157,6260,"PUGET-THENIERS"
158,6270,"VILLENEUVE-LOUBET"
159,6300,"NICE"
160,6310,"BEAULIEU SUR MER"
161,6320,"CAP-D AIL"
162,6320,"LA TURBIE"
163,6340,"LA TRINITE"
164,6340,"DRAP"
165,6340,"CANTARON"
166,6360,"EZE"
167,6370,"MOUANS-SARTOUX"
168,6380,"SOSPEL"
169,6380,"MOULINET"
170,6390,"BENDEJUN"
171,6390,"CONTES"
172,6390,"BERRE-LES-ALPES"
173,6400,"CANNES"
174,6410,"BIOT"
175,6420,"ISOLA"
176,6420,"VALDEBLORE"
177,6420,"RIMPLAS"
178,6420,"CLANS"
179,6430,"LA BRIGUE"
180,6430,"TENDE"
181,6440,"PEILLON"
182,6440,"L'ESCARENE"
183,6440,"PEILLE"
184,6440,"BLAUSASC"
185,6440,"LUCERAM"
186,6450,"SAINT-MARTIN-VESUBIE"
187,6450,"ROQUEBILLIERE"
188,6450,"BELVEDERE"
189,6450,"LANTOSQUE"
190,6450,"LA BOLLENE-VESUBIE"
191,6450,"UTELLE"
192,6460,"SAINT-VALLIER-DE-THIEY"
193,6470,"PEONE"
194,6470,"GUILLAUMES"
195,6470,"BEUIL"
196,6480,"LA COLLE SUR LOUP"
197,6500,"MENTON"
198,6500,"CASTELLAR"
199,6500,"CASTILLON"
200,6500,"GORBIO"
201,6500,"SAINTE-AGNES"
202,6510,"CARROS"
203,6510,"LE BROC"
204,6530,"SAINT-CEZAIRE-SUR-SIAGNE"
205,6530,"PEYMEINADE"
206,6540,"SAORGE"
207,6540,"BREIL-SUR-ROYA"
208,6550,"LA ROQUETTE SUR SIAGNE"
209,6560,"VALBONNE"
210,6570,"SAINT-PAUL-DE-VENCE"
211,6580,"PEGOMAS"
212,6590,"THEOULE-SUR-MER"
213,6600,"ANTIBES"
214,6610,"LA GAUDE"
215,6620,"LE BAR-SUR-LOUP"
216,6620,"GREOLIERES"
217,6660,"SAINT-ETIENNE-DE-TINEE"
218,6670,"SAINT-MARTIN-DU-VAR"
219,6670,"COLOMARS"
220,6670,"LEVENS"
221,6670,"LA ROQUETTE SUR VAR"
222,6700,"SAINT LAURENT DU VAR"
223,6710,"VILLARS-SUR-VAR"
224,6730,"SAINT-ANDRE DE LA ROCHE"
225,6750,"ANDON"
226,6790,"ASPREMONT"
227,6800,"CAGNES SUR MER"
228,6830,"GILETTE"
229,6830,"TOUDON"
230,6950,"FALICON"
231,7000,"PRIVAS"
232,7000,"ST JULIEN EN ST ALBAN"
233,7100,"ANNONAY"
234,7120,"RUOMS"
235,7130,"SAINT-PERAY"
236,7140,"GRAVIERES"
237,7150,"SALAVAS"
238,7150,"VALLON PONT D'ARC"
239,7200,"AUBENAS"
240,7200,"LABEGUDE"
241,7200,"LANAS"
242,7200,"SAINT-SERNIN"
243,7220,"VIVIERS"
244,7220,"SAINT-MONTAN"
245,7300,"TOURNON-SUR-RHONE"
246,7300,"SAINT-JEAN-DE-MUZOLS"
247,7340,"FELINES"
248,7370,"SARRAS"
249,7430,"DAVEZIEUX"
250,7500,"GUILHERAND-GRANGES"
251,7600,"VALS-LES-BAINS"
252,7700,"SAINT-JUST-D'ARDECHE"
253,7700,"BOURG-SAINT-ANDEOL"
254,7700,"SAINT-MARTIN-D' ARDECHE"
255,7800,"LA-VOULTE-SUR-RHONE"
256,7800,"CHARMES-SUR-RHONE"
257,7800,"SAINT-GEORGES-LES-BAINS"
258,8000,"CHARLEVILLE-MEZIERES"
259,8090,"SAINT-LAURENT"
260,8110,"CARIGNAN"
261,8140,"BAZEILLES"
262,8200,"SEDAN"
263,8200,"BALAN"
264,8300,"RETHEL"
265,8600,"GIVET"
266,9000,"FOIX"
267,9100,"SAINT-JEAN-DU-FALGA"
268,9100,"PAMIERS"
269,9110,"AX-LES-THERMES"
270,9140,"USTOU"
271,9250,"LUZENAC"
272,9300,"LAVELANET"
273,9350,"DAUMAZAN-SUR-ARIZE"
274,9500,"MIREPOIX"
275,9700,"SAVERDUN"
276,10000,"TROYES"
277,10100,"ROMILLY SUR SEINE"
278,10120,"SAINT ANDRE LES VERGERS"
