"Surface Carrez du 1er lot","Surface Carrez du 2eme lot","Surface Carrez du 3eme lot","Surface Carrez du 4eme lot","Surface Carrez du 5eme lot","Nombre de lots","Type local","Surface reelle bati","Nombre pieces principales","Nature culture","Nature culture speciale","Surface terrain"
"50,42",,,,,1,"Appartement",52,2,,,
"48,22",,,,,2,"Appartement",48,3,,,
"130,8",,,,,2,"Appartement",130,6,,,
"109,22",,,,,1,"Maison",109,5,,,
"108,65",,,,,2,"Appartement",91,4,,,
"31,65",,,,,1,"Appartement",32,2,,,
"52,58",,,,,1,"Appartement",52,2,,,
"58,71",,,,,1,"Appartement",60,2,,,
"93,23",,,,,3,"Maison",96,4,,,
117,,,,,1,"Maison",117,5,,,
"35,6",,,,,1,"Appartement",36,2,,,
"138,03",,,,,2,"Appartement",137,5,,,
42,,,,,1,"Appartement",43,2,,,
"45,36",,,,,2,"Appartement",45,2,,,
"82,6",,,,,2,"Appartement",84,4,,,
"88,11",,,,,1,"Appartement",88,4,,,
"164,87",,,,,1,"Appartement",143,6,,,
"42,2",,,,,2,"Appartement",42,2,,,
"68,11",,,,,1,"Appartement",65,3,,,
"82,59",,,,,1,"Appartement",75,3,,,
"30,23",,,,,1,"Appartement",30,1,,,
"24,8",,,,,1,"Appartement",25,1,,,
"52,6",,,,,1,"Appartement",52,2,,,
"91,69",,,,,1,"Appartement",88,3,,,
"45,54",,,,,1,"Appartement",45,1,,,
"84,24",,,,,1,"Appartement",83,3,,,
"68,23",,,,,1,"Appartement",68,3,,,
"62,03",,,,,1,"Appartement",64,3,,,
"112,93",,,,,1,"Maison",109,4,,,
"131,91",,,,,1,"Appartement",133,4,,,
"63,58",,,,,3,"Appartement",63,3,,,
"35,86",,,,,1,"Appartement",50,3,,,
"70,09",,,,,2,"Appartement",74,3,,,
200,,,,,1,"Appartement",121,4,,,
"54,84",,,,,2,"Appartement",62,2,,,
"72,75",,,,,2,"Appartement",73,4,,,
"94,09",,,,,1,"Maison",88,2,,,
"71,08",,,,,2,"Appartement",71,3,,,
"97,03",,,,,1,"Maison",101,4,,,
"44,48",,,,,1,"Appartement",45,2,,,
"64,21",,,,,1,"Appartement",63,2,,,
"70,1",,,,,2,"Maison",68,3,,,
"76,7",,,,,1,"Appartement",90,4,,,
"133,77",,,,,2,"Appartement",120,4,,,
"107,61",,,,,1,"Appartement",106,5,,,
"42,78",,,,,1,"Appartement",43,2,,,
"124,55",,,,,1,"Maison",120,5,,,
"68,11",,,,,1,"Appartement",67,2,,,
"70,78",,,,,2,"Appartement",68,3,,,
"112,3",,,,,1,"Appartement",112,5,,,
"95,43",,,,,1,"Maison",95,4,,,
"63,45",,,,,3,"Appartement",63,3,,,
"77,3",,,,,2,"Appartement",75,4,,,
"164,18",,,,,1,"Maison",160,6,,,
"66,95",,,,,2,"Appartement",67,3,,,
"30,62",,,,,2,"Appartement",31,1,,,
"165,92",,,,,1,"Appartement",166,5,,,
"51,99",,,,,2,"Appartement",56,2,,,
"63,17",,,,,2,"Appartement",63,3,,,
"84,97",,,,,2,"Appartement",88,3,,,
"88,7",,,,,1,"Appartement",87,4,,,
"50,64",,,,,1,"Appartement",51,2,,,
38,,,,,1,"Appartement",39,1,,,
"70,53",,,,,3,"Appartement",71,3,,,
"105,68",,,,,1,"Maison",143,6,,,
"46,12",,,,,1,"Appartement",53,3,,,
"37,63",,,,,2,"Appartement",39,2,,,
"87,38",,,,,1,"Appartement",89,4,,,
"50,33",,,,,2,"Appartement",50,2,,,
"134,17",,,,,1,"Appartement",136,4,,,
"47,65",,,,,3,"Appartement",62,3,,,
"99,13",,,,,1,"Maison",102,4,,,
"43,42",,,,,2,"Appartement",43,2,,,
"83,6",,,,,1,"Maison",83,4,,,
"54,65",,,,,1,"Appartement",55,2,,,
"81,15",,,,,2,"Appartement",81,3,,,
"53,43",,,,,1,"Appartement",56,3,,,
"74,85",,,,,3,"Appartement",75,3,,,
"90,33",,,,,1,"Maison",90,4,,,
"99,39",,,,,1,"Maison",86,4,,,
"123,16",,,,,1,"Maison",118,5,,,
"110,13",,,,,1,"Maison",110,5,,,
"71,43",,,,,1,"Appartement",70,3,,,
"56,02",,,,,1,"Appartement",56,3,,,
"85,12",,,,,2,"Appartement",85,4,,,
75,,,,,1,"Appartement",74,4,,,
"135,68",,,,,3,"Appartement",133,4,,,
"35,59",,,,,1,"Appartement",33,2,,,
"62,38",,,,,1,"Appartement",63,3,,,
"92,04",,,,,1,"Appartement",100,4,,,
"46,05",,,,,1,"Appartement",46,2,,,
"34,56",,,,,1,"Appartement",34,2,,,
"43,23",,,,,1,"Appartement",43,2,,,
"83,82",,,,,1,"Maison",80,4,,,
"38,67",,,,,2,"Appartement",39,2,,,
88,,,,,1,"Appartement",92,3,,,
"56,96",,,,,1,"Appartement",57,2,,,
"55,4",,,,,1,"Appartement",55,3,,,
"74,72",,,,,1,"Appartement",79,2,,,
"295,21",,,,,1,"Appartement",190,6,,,
"222,97",,,,,1,"Maison",170,3,,,
"113,52",,,,,1,"Appartement",113,4,,,
"127,2",,,,,2,"Appartement",127,4,,,
"47,6",,,,,1,"Appartement",49,2,,,
"65,29",,,,,1,"Appartement",74,3,,,
"81,24",,,,,1,"Appartement",83,4,,,
"42,89",,,,,2,"Appartement",32,2,,,
"69,66",,,,,1,"Appartement",69,3,,,
"69,65",,,,,2,"Appartement",69,3,,,
"64,44",,,,,3,"Appartement",64,3,,,
"88,83",,,,,1,"Appartement",88,4,,,
"35,3",,,,,2,"Appartement",35,3,,,
"45,5",,,,,3,"Appartement",40,2,,,
"73,77",,,,,2,"Maison",77,4,,,
"67,94",,,,,2,"Appartement",67,3,,,
"22,2",,,,,1,"Appartement",30,1,,,
"48,38",,,,,1,"Appartement",48,2,,,
"56,65",,,,,1,"Appartement",56,2,,,
"32,27",,,,,2,"Appartement",32,2,,,
"61,54",,,,,1,"Appartement",68,4,,,
"82,37",,,,,1,"Maison",80,4,,,
"53,81",,,,,1,"Appartement",53,3,,,
"71,8",,,,,1,"Appartement",71,3,,,
"63,54",,,,,3,"Appartement",63,3,,,
"101,52",,,,,1,"Maison",102,6,,,
"51,7",,,,,2,"Appartement",42,2,,,
"114,17",,,,,2,"Appartement",115,4,,,
"21,48",,,,,1,"Appartement",21,2,,,
"36,21",,,,,1,"Appartement",36,1,,,
"44,24",,,,,2,"Appartement",48,2,,,
"54,7",,,,,1,"Appartement",54,2,,,
51,,,,,1,"Appartement",54,2,,,
"42,92",,,,,2,"Appartement",41,2,,,
"68,08",,,,,2,"Appartement",67,3,,,
"70,15",,,,,2,"Appartement",69,3,,,
"57,23",,,,,1,"Appartement",56,2,,,
"132,16",,,,,1,"Appartement",131,5,,,
"58,62",,,,,1,"Appartement",63,2,,,
"61,89",,,,,1,"Appartement",60,3,,,
"92,45",,,,,1,"Appartement",105,3,,,
"71,29",,,,,2,"Appartement",71,3,,,
"138,05",,,,,1,"Maison",101,5,,,
"45,12",,,,,2,"Appartement",30,1,,,
"70,45",,,,,1,"Appartement",75,3,,,
"78,54",,,,,1,"Appartement",77,4,,,
"52,58",,,,,1,"Appartement",58,2,,,
"30,98",,,,,2,"Appartement",22,2,,,
"95,66",,,,,2,"Appartement",106,5,,,
"87,23",,,,,1,"Appartement",87,4,,,
"92,47",,,,,1,"Appartement",92,5,,,
"89,2",,,,,2,"Appartement",89,5,,,
"28,8",,,,,2,"Appartement",40,1,,,
"46,68",,,,,1,"Appartement",46,2,,,
"2,36",,,,,1,"Appartement",2,0,,,
"68,92",,,,,1,"Appartement",68,3,,,
"68,45",,,,,2,"Appartement",68,3,,,
"102,52",,,,,1,"Maison",103,4,,,
"59,67",,,,,2,"Appartement",59,2,,,
"77,86",,,,,2,"Appartement",77,4,,,
"105,12",,,,,3,"Maison",106,4,,,
"63,27",,,,,3,"Appartement",63,3,,,
"133,24",,,,,1,"Appartement",133,4,,,
"67,33",,,,,1,"Appartement",63,3,,,
"68,69",,,,,2,"Appartement",65,3,,,
"58,3",,,,,1,"Appartement",59,2,,,
"111,06",,,,,1,"Appartement",112,5,,,
"117,63",,,,,1,"Appartement",117,5,,,
"85,12",,,,,1,"Appartement",82,4,,,
"42,01",,,,,1,"Appartement",42,2,,,
"96,46",,,,,1,"Maison",96,5,,,
"57,5",,,,,3,"Appartement",58,3,,,
"90,4",,,,,2,"Appartement",90,4,,,
"42,59",,,,,2,"Appartement",42,2,,,
"50,11",,,,,1,"Appartement",35,1,,,
"32,6",,,,,1,"Appartement",33,2,,,
"103,62",,,,,1,"Maison",88,4,,,
"135,89",,,,,1,"Appartement",60,2,,,
"166,98",,,,,1,"Appartement",166,5,,,
"58,13",,,,,1,"Appartement",65,2,,,
"38,67",,,,,1,"Appartement",39,2,,,
"120,5",,,,,1,"Maison",110,5,,,
"86,8",,,,,1,"Appartement",90,3,,,
"41,82",,,,,1,"Appartement",47,1,,,
"56,63",,,,,1,"Appartement",56,2,,,
"79,06",,,,,1,"Appartement",77,3,,,
"65,82",,,,,1,"Appartement",65,3,,,
"38,43",,,,,1,"Appartement",44,3,,,
"85,95",,,,,1,"Appartement",85,4,,,
"48,42",,,,,1,"Appartement",48,2,,,
"80,87",,,,,1,"Maison",82,4,,,
"165,11",,,,,4,"Appartement",156,6,,,
"71,5",,,,,1,"Appartement",72,4,,,
"82,54",,,,,1,"Appartement",82,3,,,
"39,97",,,,,3,"Appartement",41,2,,,
"146,68",,,,,1,"Appartement",158,4,,,
"31,6",,,,,1,"Appartement",40,2,,,
92,,,,,1,"Maison",80,4,"S",,213
"73,5",,,,,1,"Appartement",65,3,,,
"23,82",,,,,2,"Appartement",30,1,,,
"37,3",,,,,1,"Appartement",40,2,,,
"49,1",,,,,1,"Appartement",53,2,,,
"30,94",,,,,1,"Appartement",31,1,,,
"65,66",,,,,1,"Maison",67,3,,,
"27,19",,,,,1,"Appartement",27,1,,,
"46,92",,,,,1,"Appartement",53,2,,,
"78,3",,,,,1,"Maison",82,4,,,
"88,5",,,,,1,"Appartement",90,5,,,
"24,05",,,,,1,"Appartement",27,1,,,
"92,54",,,,,1,"Maison",92,4,,,
"60,05",,,,,1,"Appartement",62,3,,,
89,,,,,1,"Appartement",90,5,,,
"23,86",,,,,1,"Appartement",27,1,,,
25,,,,,1,"Appartement",64,3,,,
"148,41",,,,,1,"Appartement",155,5,,,
"47,44",,,,,1,"Appartement",48,2,,,
"80,14",,,,,1,"Maison",90,4,,,
"53,42",,,,,1,"Appartement",53,3,,,
"66,36",,,,,1,"Appartement",67,3,,,
"28,13",,,,,1,"Appartement",29,1,,,
"88,14",,,,,1,"Maison",119,4,,,
"77,91",,,,,1,"Appartement",76,3,,,
"26,4",,,,,1,"Appartement",27,1,,,
"119,4",,,,,1,"Appartement",122,4,,,
"33,49",,,,,2,"Appartement",32,1,,,
"96,4",,,,,1,"Appartement",127,4,,,
"53,22",,,,,1,"Appartement",52,2,,,
"142,98",,,,,2,"Appartement",143,5,,,
"50,16",,,,,3,"Appartement",43,2,,,
"108,49",,,,,1,"Appartement",127,4,,,
"29,16",,,,,2,"Appartement",29,1,,,
"79,27",,,,,1,"Maison",81,4,,,
"64,21",,,,,1,"Appartement",67,4,,,
"121,9",,,,,2,"Appartement",122,5,,,
"145,28",,,,,1,"Maison",145,4,,,
"49,99",,,,,1,"Appartement",49,3,,,
"58,67",,,,,1,"Appartement",58,2,,,
"55,74",,,,,1,"Maison",50,3,,,
"77,56",,,,,2,"Appartement",77,5,,,
"49,33",,,,,2,"Appartement",48,2,,,
"47,02",,,,,3,"Appartement",36,3,,,
"37,18",,,,,6,"Appartement",75,2,,,
106,,,,,3,"Maison",109,6,,,
"39,62",,,,,3,"Maison",64,3,,,
"81,62",,,,,1,"Appartement",81,4,,,
"41,42",,,,,1,"Appartement",44,1,,,
"62,15",,,,,1,"Appartement",83,3,,,
"59,81",,,,,2,"Appartement",59,4,,,
"20,45",,,,,1,"Appartement",26,1,,,
"89,56",,,,,1,"Appartement",86,3,,,
570,,,,,1,"Maison",110,6,,,
"21,4",,,,,1,"Appartement",21,1,,,
"49,46",,,,,1,"Appartement",57,2,,,
"45,12",,,,,1,"Appartement",44,2,,,
"68,95",,,,,2,"Appartement",72,3,,,
"76,95",,,,,2,"Appartement",76,3,,,
"72,93",,,,,1,"Appartement",72,2,,,
"65,9",,,,,2,"Appartement",64,3,,,
"31,84",,,,,1,"Appartement",32,2,,,
"20,69",,,,,1,"Appartement",23,1,,,
"29,36",,,,,1,"Appartement",33,1,,,
"67,85",,,,,3,"Appartement",54,3,,,
"51,07",,,,,1,"Appartement",42,3,,,
"29,21",,,,,1,"Appartement",30,1,,,
"23,7",,,,,1,"Appartement",25,1,,,
"73,94",,,,,1,"Appartement",75,3,,,
"93,89",,,,,1,"Maison",110,6,,,
"68,37",,,,,1,"Appartement",67,3,,,
"73,65",,,,,1,"Appartement",73,3,,,
"31,62",,,,,2,"Appartement",32,1,,,
"60,2",,,,,2,"Appartement",60,3,,,
"48,5",,,,,1,"Appartement",54,3,,,
"57,74",,,,,2,"Appartement",58,3,,,
"78,24",,,,,1,"Appartement",75,4,,,
"64,24",,,,,1,"Appartement",64,3,,,
"34,46",,,,,1,"Appartement",33,2,,,
"124,01",,,,,3,"Appartement",77,3,,,
"34,9",,,,,1,"Appartement",38,1,,,
"22,19",,,,,1,"Appartement",22,1,,,
"83,87",,,,,2,"Appartement",84,4,,,
"107,77",,,,,1,"Maison",112,5,,,
"61,4",,,,,2,"Appartement",60,4,,,
"128,8",,,,,1,"Maison",85,5,,,
"58,46",,,,,2,"Appartement",59,3,,,
"40,06",,,,,2,"Appartement",40,2,,,
"78,3",,,,,2,"Appartement",79,4,,,
106,,,,,2,"Appartement",105,5,,,
"74,54",,,,,1,"Appartement",80,3,,,
"81,72",,,,,2,"Appartement",79,3,,,
"67,64",,,,,2,"Appartement",67,4,,,
"42,98",,,,,2,"Appartement",47,2,,,
"40,57",,,,,3,"Appartement",45,2,,,
"105,71",,,,,1,"Appartement",119,4,,,
"106,43",,,,,3,"Appartement",133,4,,,
"29,74",,,,,1,"Appartement",31,1,,,
"65,4",,,,,1,"Appartement",66,3,,,
"144,6",,,,,1,"Appartement",120,4,,,
"24,74",,,,,1,"Appartement",24,1,,,
"32,89",,,,,1,"Appartement",33,1,,,
"20,92",,,,,1,"Appartement",20,1,,,
"93,76",,,,,1,"Appartement",120,4,,,
"20,73",,,,,1,"Appartement",20,1,,,
"26,6",,,,,1,"Appartement",27,2,,,
40,,,,,1,"Appartement",50,3,,,
"27,46",,,,,1,"Appartement",26,1,,,
"51,42",,,,,1,"Appartement",51,2,,,
"71,39",,,,,1,"Maison",71,3,,,
"41,16",,,,,1,"Appartement",49,2,,,
"65,5",,,,,1,"Appartement",32,2,,,
"34,95",,,,,1,"Appartement",35,2,,,
"60,66",,,,,1,"Appartement",52,3,,,
"24,32",,,,,1,"Appartement",25,1,,,
"23,02",,,,,1,"Appartement",23,1,,,
"59,73",,,,,1,"Appartement",63,2,,,
