Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"SCL","Compte Disponibilités et Utilisations (CDU)","2","Afghanistan","5510","Production","15","Blé","2019","2019","tonnes","4890000","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","2","Afghanistan","5510","Production","56","Maïs","2019","2019","tonnes","184671","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","2","Afghanistan","5510","Production","79","Mils","2019","2019","tonnes","2714","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","2","Afghanistan","5510","Production","44","Orge","2019","2019","tonnes","123576","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","2","Afghanistan","5510","Production","27","Riz, paddy","2019","2019","tonnes","382500","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","202","Afrique du Sud","5510","Production","75","Avoine","2019","2019","tonnes","16500","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","202","Afrique du Sud","5510","Production","15","Blé","2019","2019","tonnes","1535000","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","202","Afrique du Sud","5510","Production","108","Ceréales nda","2019","2019","tonnes","13000","F","Estimation FAO"
"SCL","Compte Disponibilités et Utilisations (CDU)","202","Afrique du Sud","5510","Production","56","Maïs","2019","2019","tonnes","11275500","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","202","Afrique du Sud","5510","Production","79","Mils","2019","2019","tonnes","5160","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","202","Afrique du Sud","5510","Production","44","Orge","2019","2019","tonnes","345000","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","202","Afrique du Sud","5510","Production","27","Riz, paddy","2019","2019","tonnes","3077","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","202","Afrique du Sud","5510","Production","89","Sarrasin, blé noir","2019","2019","tonnes","228","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","202","Afrique du Sud","5510","Production","71","Seigle","2019","2019","tonnes","1681","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","202","Afrique du Sud","5510","Production","83","Sorgho","2019","2019","tonnes","127000","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","3","Albanie","5510","Production","75","Avoine","2019","2019","tonnes","33382","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","3","Albanie","5510","Production","15","Blé","2019","2019","tonnes","233218","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","3","Albanie","5510","Production","56","Maïs","2019","2019","tonnes","388951","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","3","Albanie","5510","Production","44","Orge","2019","2019","tonnes","7942","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","3","Albanie","5510","Production","27","Riz, paddy","2019","2019","tonnes","0","M","Donnée non disponible"
